open_time,open,high,low,close,btc_close_price,strike_price_K,time_to_maturity_t2m,current_time_t,contract_duration_T,predicted_r,predicted_sigma
2025-09-12 15:00:00,1510,1510,1510,1510,115048.0,116000,0.01916496,0.0,0.01916496,0.781517,0.16909571
2025-09-12 16:00:00,1515,1525,1415,1415,115048.01,116000,0.01905088,0.00011408,0.01916496,0.71720946,0.17151289
2025-09-12 17:00:00,1425,1425,1390,1390,114980.85,116000,0.0189368,0.00022815,0.01916496,0.5935061,0.19732702
2025-09-12 18:00:00,1375,1455,1375,1450,114913.45,116000,0.01882272,0.00034223,0.01916496,0.5492215,0.22190529
2025-09-12 19:00:00,1375,1405,1375,1405,115083.97,116000,0.01870865,0.00045631,0.01916496,0.70515525,0.17053342
2025-09-12 20:00:00,1400,1400,1400,1400,115166.45,116000,0.01859457,0.00057039,0.01916496,0.6348696,0.17832892
2025-09-12 21:00:00,1400,1400,1400,1400,115260.0,116000,0.01848049,0.00068446,0.01916496,0.2587111,0.2382707
2025-09-12 22:00:00,1400,1400,1400,1400,115121.18,116000,0.01836642,0.00079854,0.01916496,0.7172751,0.16906844
2025-09-12 23:00:00,1590,1640,1590,1640,115495.56,116000,0.01825234,0.00091262,0.01916496,0.5112071,0.2146464
2025-09-13 00:00:00,1645,1845,1645,1845,115815.16,116000,0.01813826,0.00102669,0.01916496,0.3541338,0.24959353
2025-09-13 01:00:00,1880,2200,1880,2200,116486.18,116000,0.01802418,0.00114077,0.01916496,0.65240455,0.16539198
2025-09-13 02:00:00,2140,2175,2120,2120,116632.51,116000,0.01791011,0.00125485,0.01916496,0.516048,0.17127898
2025-09-13 03:00:00,2085,2085,1995,1995,116157.33,116000,0.01779603,0.00136893,0.01916496,0.6231438,0.18422827
2025-09-13 04:00:00,1965,1965,1915,1915,115865.89,116000,0.01768195,0.001483,0.01916496,0.3306787,0.26590508
2025-09-13 05:00:00,2000,2000,1860,1860,116027.46,116000,0.01756788,0.00159708,0.01916496,0.4318832,0.22361684
2025-09-13 06:00:00,1860,1860,1860,1860,116029.42,116000,0.0174538,0.00171116,0.01916496,0.43081704,0.22266167
2025-09-13 07:00:00,1960,1960,1960,1960,116209.32,116000,0.01733972,0.00182523,0.01916496,0.644143,0.17205754
2025-09-13 08:00:00,1890,1890,1890,1890,115764.3,116000,0.01722564,0.00193931,0.01916496,0.7418581,0.19344035
