timestamp_bkk,amount,askIV,askPrice,bidIV,bidPrice,closeTime,delta,exercisePrice,fetchTimestamp,firstTradeId,gamma,high,highPriceLimit,lastPrice,lastQty,low,lowPriceLimit,markIV,markPrice,open,openTime,priceChange,priceChangePercent,riskFreeInterest,spotPrice,strikePrice,symbol,theta,timestamp_utc,tradeCount,vega,volume
2025-09-13 15:06:04,95558.1,0.15433729,290,0.14589131,270,1757750623381,0.44330236,115784.80608696,1757750764619,144,0.00032649,905,23315.7,280,3,240,5,0.2,398.7,460,1757664363407,-180,-0.3913,0.11457846,115778.68000000,116000,BTC-250914-116000-C,-239.83563117,2025-09-13 08:06:04,1004,23.88279884,214.88
2025-09-13 15:07:01,95155.85,0.15012443,280,0.14589846,270,1757750623381,0.44335958,115785.16478261,1757750821443,152,0.00032661,905,23313.8,280,3,240,5,0.2,398.6,425,1757664612114,-145,-0.3411,0.11427218,115778.67000000,116000,BTC-250914-116000-C,-239.92221032,2025-09-13 08:07:01,996,23.87531449,214
2025-09-13 15:08:02,95158.65,0.15018404,280,0.14595568,270,1757750847263,0.44332608,115785.15195652,1757750882109,152,0.00032672,905,23315,280,0,240,5,0.2,398.4,425,1757664612114,-145,-0.3411,0.11427218,115778.67000000,116000,BTC-250914-116000-C,-240.00304109,2025-09-13 08:08:02,997,23.86669131,214.01
2025-09-13 15:09:01,95158.65,0.15253186,285,0.14618814,270,1757750847263,0.44297159,115784.157,1757750941702,152,0.00032679,905,23327.4,280,0,240,5,0.2,397.8,425,1757664612114,-145,-0.3411,0.11427218,115778.62000000,116000,BTC-250914-116000-C,-240.05400623,2025-09-13 08:09:01,997,23.85508903,214.01
2025-09-13 15:10:01,95957.85,0.15258372,285,0.14623821,270,1757750999497,0.4429524,115784.18695652,1757751001288,152,0.0003269,905,23328.1,270,2.9,240,5,0.2,397.6,425,1757664612114,-155,-0.3647,0.11427218,115778.63000000,116000,BTC-250914-116000-C,-240.13491632,2025-09-13 08:10:01,998,23.84673127,216.97
2025-09-13 15:11:01,95889.85,0.15283525,285,0.14436722,265,1757750999497,0.44257086,115783.14695652,1757751061898,154,0.00032698,905,23341.6,270,2.9,240,5,0.2,397,400,1757664672508,-130,-0.325,0.11416059,115776.54000000,116000,BTC-250914-116000-C,-240.18474796,2025-09-13 08:11:01,996,23.83472234,216.81
2025-09-13 15:12:01,95557.35,0.15293896,285,0.14446795,265,1757750999497,0.44245739,115782.8776087,1757751121485,158,0.00032708,905,23345.5,270,2.9,240,5,0.2,396.7,405,1757664957448,-135,-0.3333,0.11416059,115776.01000000,116000,BTC-250914-116000-C,-240.25831578,2025-09-13 08:12:01,992,23.82533824,215.98
2025-09-13 15:13:02,95557.35,0.15595734,290,0.14535844,265,1757750999497,0.44088904,115778.18673913,1757751182119,158,0.00032702,905,23400.5,270,2.9,240,5,0.2,394.4,405,1757664957448,-135,-0.3333,0.11416059,115795.96000000,116000,BTC-250914-116000-C,-240.19262956,2025-09-13 08:13:02,992,23.80214439,215.98
2025-09-13 15:14:01,96091.55,0.14835656,280,0.13565958,250,1757751205511,0.44709775,115797.23869565,1757751241920,158,0.0003278,905,23182.4,260,0,240,5,0.2,402.7,405,1757664957448,-145,-0.358,0.11416059,115794.22000000,116000,BTC-250914-116000-C,-240.8490287,2025-09-13 08:14:01,1007,23.85046533,218.03
2025-09-13 15:15:01,96091.55,0.14656365,270,0.12960255,235,1757751205511,0.4465884,115795.8173913,1757751301562,158,0.00032786,905,23200.4,260,0,240,5,0.2,401.9,405,1757664957448,-145,-0.358,0.11416059,115792.01000000,116000,BTC-250914-116000-C,-240.88899493,2025-09-13 08:15:01,1007,23.83769465,218.03
2025-09-13 15:16:02,96063.2,0.14268458,275,0.12994707,235,1757751205511,0.4460152,115794.09586957,1757751362461,160,0.00032792,905,23220.5,260,0,240,5,0.2,401,400,1757666436473,-140,-0.35,0.11420908,115788.64000000,116000,BTC-250914-116000-C,-240.92431886,2025-09-13 08:16:02,1005,23.8241805,217.96
2025-09-13 15:17:01,96063.2,0.14840782,275,0.12926877,230,1757751205511,0.44337274,115786.11326087,1757751421952,160,0.00032775,905,23313.3,260,0,240,5,0.2,397.2,400,1757666436473,-140,-0.35,0.11423878,115781.03000000,116000,BTC-250914-116000-C,-240.76687464,2025-09-13 08:17:01,1005,23.79217013,217.96
2025-09-13 15:18:01,96063.2,0.14920294,275,0.12790382,225,1757751205511,0.44199106,115781.99673913,1757751481298,160,0.00032771,905,23361.8,260,0,240,5,0.2,395.2,400,1757666436473,-140,-0.35,0.11423878,115774.22000000,116000,BTC-250914-116000-C,-240.72145374,2025-09-13 08:18:01,1005,23.77096494,217.96
2025-09-13 15:19:01,96063.2,0.14496565,265,0.1300472,230,1757751205511,0.44204403,115782.241,1757751541855,160,0.00032784,905,23360.1,260,0,240,5,0.2,395.2,400,1757666436473,-140,-0.35,0.11423878,115774.22000000,116000,BTC-250914-116000-C,-240.81138073,2025-09-13 08:19:01,1005,23.76312212,217.96
2025-09-13 15:20:01,96063.2,0.14714777,270,0.13009846,230,1757751205511,0.44201326,115782.246,1757751601485,160,0.00032795,905,23361.1,260,0,240,5,0.2,395,400,1757666436473,-140,-0.35,0.11423878,115774.22000000,116000,BTC-250914-116000-C,-240.89341528,2025-09-13 08:20:01,1005,23.75448853,217.96
2025-09-13 15:21:02,96063.2,0.15006959,290,0.1331538,250,1757751205511,0.4521527,115813.18673913,1757751662194,160,0.0003291,905,23004.2,260,0,240,5,0.2,408.6,400,1757666436473,-140,-0.35,0.11423878,115808.96000000,116000,BTC-250914-116000-C,-241.86644598,2025-09-13 08:21:02,1005,23.83364276,217.96
2025-09-13 15:22:01,96063.2,0.1455766,280,0.13288379,250,1757751205511,0.45271049,115814.93413043,1757751721639,160,0.00032926,905,22984.5,260,0,240,5,0.2,409.3,400,1757666436473,-140,-0.35,0.1143264,115808.96000000,116000,BTC-250914-116000-C,-241.99609342,2025-09-13 08:22:01,1005,23.829613,217.96
2025-09-13 15:23:02,96068.3,0.14579117,280,0.12884974,240,1757751780150,0.45239945,115814.06978261,1757751782072,160,0.00032935,905,22995.4,255,0,240,5,0.2,408.7,400,1757666436473,-145,-0.3625,0.1143264,115808.95000000,116000,BTC-250914-116000-C,-242.05700421,2025-09-13 08:23:02,1006,23.81880144,217.98
2025-09-13 15:24:01,96073.3,0.14360249,275,0.13089359,245,1757751798323,0.45260669,115814.77913043,1757751841640,160,0.00032948,905,22988.1,250,0,240,5,0.2,408.8,400,1757666436473,-150,-0.375,0.1143264,115808.95000000,116000,BTC-250914-116000-C,-242.15906415,2025-09-13 08:24:01,1007,23.8120277,218
2025-09-13 15:25:01,96105.8,0.14150679,270,0.13091028,245,1757751848777,0.45264168,115814.96413043,1757751901076,160,0.0003296,905,22986.8,250,0.1,240,5,0.2,408.7,400,1757666436473,-150,-0.375,0.1143264,115808.96000000,116000,BTC-250914-116000-C,-242.24612639,2025-09-13 08:25:01,1008,23.80404645,218.13
2025-09-13 15:26:01,96105.8,0.14605105,280,0.13545871,255,1757751848777,0.45215564,115813.50575,1757751961963,160,0.00032968,905,23003.8,250,0.1,240,5,0.2,407.9,400,1757666436473,-150,-0.375,0.11453715,115809.32000000,116000,BTC-250914-116000-C,-242.29458572,2025-09-13 08:26:01,1008,23.7917018,218.13
2025-09-13 15:27:01,96105.8,0.14449894,280,0.13603687,260,1757751848777,0.45501268,115822.24775,1757752021785,160,0.00033005,905,22902.9,250,0.1,240,5,0.2,411.7,400,1757666436473,-150,-0.375,0.11453715,115818.43000000,116000,BTC-250914-116000-C,-242.60250061,2025-09-13 08:27:01,1008,23.80508958,218.13
2025-09-13 15:28:01,96105.8,0.14779985,290,0.14146209,275,1757751848777,0.45673661,115827.54425,1757752081350,160,0.00033031,905,22842,250,0.1,240,5,0.2,414,400,1757666436473,-150,-0.375,0.11453715,115831.63000000,116000,BTC-250914-116000-C,-242.81647682,2025-09-13 08:28:01,1008,23.80922349,218.13
2025-09-13 15:29:01,96410.8,0.14747739,305,0.13696969,280,1757752126990,0.46845081,115863.026,1757752141784,160,0.00033124,905,22426.7,305,1,240,5,0.2,430.2,400,1757666436473,-95,-0.2375,0.11453715,115858.52000000,116000,BTC-250914-116000-C,-243.65085307,2025-09-13 08:29:01,1009,23.87411756,219.13
2025-09-13 15:30:01,96410.8,0.14745653,305,0.14115155,290,1757752126990,0.46856263,115863.42575,1757752201182,160,0.00033136,905,22422.7,305,1,240,5,0.2,430.2,400,1757666436473,-95,-0.2375,0.11453715,115858.51000000,116000,BTC-250914-116000-C,-243.74205585,2025-09-13 08:30:01,1009,23.86640964,219.13
