--- Created new result directory: btcusdt_options_call_V2\btcusdt_call_pricing_mlp\result_14 ---
--- Log file created at: btcusdt_options_call_V2\btcusdt_call_pricing_mlp\result_14\run_log_2025-11-15_00-35-23.log ---

Using device: cuda:0

==================================================
TRAINING PARAMETERS
==================================================
Market Parameters:
  - Strike Price (K): 116000.0
  - Risk-free Rate (r): 0.05
  - Volatility (sigma): 0.321775
  - Maturity (T): 0.01918 years
  - Price Range (S_range): [90000.0, 140000.0]

PINN & Training Hyperparameters:
  - Input Neurons: 2
  - Output Neurons: 1
  - Hidden Neurons per Layer: 100
  - Number of Hidden Layers: 8
  - Epochs: 80000
  - Learning Rate: 0.0001
  - Samples per Batch (N_SAMPLE): 8000
  - Physics Loss Weight: 0.1
==================================================

Model parameters: 81.20K

--- Starting PINN Training ---
Epoch 65000/80000, Loss: 0.00000277, Data: 0.00000169, PDE: 0.00000109
Epoch 66000/80000, Loss: 0.00000338, Data: 0.00000169, PDE: 0.00000169
Epoch 67000/80000, Loss: 0.00000250, Data: 0.00000170, PDE: 0.00000080
Epoch 68000/80000, Loss: 0.00000198, Data: 0.00000162, PDE: 0.00000037
Epoch 69000/80000, Loss: 0.00000212, Data: 0.00000175, PDE: 0.00000036
Epoch 70000/80000, Loss: 0.00000203, Data: 0.00000155, PDE: 0.00000048
Epoch 71000/80000, Loss: 0.00000233, Data: 0.00000183, PDE: 0.00000049
Epoch 72000/80000, Loss: 0.00001020, Data: 0.00000213, PDE: 0.00000806
Epoch 73000/80000, Loss: 0.00000189, Data: 0.00000141, PDE: 0.00000048
Epoch 74000/80000, Loss: 0.00000173, Data: 0.00000136, PDE: 0.00000037
Epoch 75000/80000, Loss: 0.00000199, Data: 0.00000166, PDE: 0.00000033
Epoch 76000/80000, Loss: 0.00000177, Data: 0.00000146, PDE: 0.00000031
Epoch 77000/80000, Loss: 0.00000262, Data: 0.00000135, PDE: 0.00000127
Epoch 78000/80000, Loss: 0.00000191, Data: 0.00000154, PDE: 0.00000037
Epoch 79000/80000, Loss: 0.00000174, Data: 0.00000140, PDE: 0.00000033
Epoch 80000/80000, Loss: 0.00000181, Data: 0.00000143, PDE: 0.00000038
--- Training Finished ---

--- Model saved successfully to: btcusdt_options_call_V2\btcusdt_call_pricing_mlp\result_14\pinn_model.pth ---

--- Generating and Saving Visualizations to btcusdt_options_call_V2\btcusdt_call_pricing_mlp\result_14 ---
--- All visualizations saved successfully to btcusdt_options_call_V2\btcusdt_call_pricing_mlp\result_14 ---
